chi2,ndf
60.071,55
108.069,103
110.002,105
106.006,101
110.018,105
108.024,103
108.004,103
108.006,103
110.326,105
92.0083,87
108.003,103
108.114,103
110.002,105
110.013,105
108.004,103
102.061,97
108.087,103
34.0006,29
40.0007,35
30.0149,25
110.006,105
110.006,105
110.19,105
110.006,105
100.017,95
104.005,99
110.041,105
94.0083,89
108.014,103
110.003,105
110.226,105
110.005,105
110.022,105
108.004,103
108.031,103
106.003,101
110.017,105
212.049,207
106.002,101
108.019,103
78.0021,73
110.008,105
104.048,99
108.002,103
110.016,105
108.068,103
106.002,101
110.057,105
110.031,105
106.013,101
106.001,101
70.0015,65
110.112,105
10.0002,5
110.037,105
110.056,105
110.03,105
106.001,101
110.042,105
108.011,103
88.0108,83
108.069,103
92.0061,87
110.004,105
108.003,103
108.012,103
106.008,101
108.066,103
110.012,105
106.085,101
106.018,101
110.007,105
110.007,105
110.002,105
108.007,103
110.041,105
108.015,103
110.02,105
110.001,105
108.005,103
52.0239,47
26.0014,21
108.005,103
106.042,101
184.008,179
110.047,105
106.004,101
106.011,101
110.032,105
72.0062,67
110.004,105
108.031,103
42.0012,37
110.003,105
110.013,105
106.001,101
110.056,105
108.019,103
110.014,105
104.005,99
108.001,103
106.005,101
104.065,99
108.005,103
76.012,71
110.009,105
108.26,103
110.002,105
16.0002,11
110.004,105
220.004,215
110.005,105
106.041,101
108.002,103
110.004,105
108.026,103
108.074,103
86.0252,81
110.041,105
108.016,103
106.002,101
98.0236,93
104.019,99
108.032,103
110.349,105
110.074,105
110.07,105
172.006,167
110.005,105
108.009,103
120.123,115
110.037,105
106.009,101
106.022,101
110.26,105
110.03,105
216.01,211
110.117,105
108.061,103
36.0184,31
108.009,103
108.095,103
70.0147,65
110.002,105
100.026,95
106.036,101
110.011,105
110.009,105
110.054,105
108.178,103
108.005,103
108.003,103
110.036,105
110.004,105
90.0027,85
108.068,103
110.005,105
110.032,105
108.003,103
26.0005,21
216.003,211
216.054,211
110.01,105
110.022,105
30.0045,25
220.141,215
36.0176,31
110.011,105
110.032,105
108.397,103
110.151,105
108.011,103
110.086,105
110.017,105
108.003,103
110.094,105
100.005,95
36.0247,31
38.0009,33
110.003,105
94.012,89
18.0162,13
110.079,105
110.032,105
110.042,105
108.032,103
10.0004,5
108.027,103
30.0114,25
110.001,105
110.003,105
28.001,23
108.022,103
110.01,105
110.127,105
110.04,105
108.158,103
106.01,101
108.064,103
108.086,103
110.017,105
110.062,105
110.065,105
86.0184,81
108.047,103
108.003,103
108.009,103
106.007,101
108.013,103
110.088,105
104.019,99
108.044,103
108.002,103
108.011,103
108.017,103
110.007,105
106.012,101
106.113,101
212.003,207
104.527,99
108.019,103
110.002,105
108.043,103
86.0257,81
108.023,103
110.023,105
110.201,105
108.002,103
64.0207,59
110.056,105
110.12,105
110.002,105
58.0033,53
74.0364,69
108.005,103
68.0027,63
108.001,103
108.057,103
108.004,103
26.0138,21
108.025,103
40.0012,35
110.015,105
110.112,105
108.018,103
80.0371,75
108.052,103
102.002,97
30.0084,25
110.02,105
110.018,105
110.012,105
110.036,105
102.036,97
106.148,101
110.005,105
80.0283,75
108.001,103
108.036,103
110.134,105
58.0129,53
110.002,105
106.003,101
108.003,103
110.004,105
108.04,103
220.091,215
106.001,101
108.082,103
74.0018,69
102.003,97
104.005,99
108.306,103
212.429,207
108.018,103
26.0019,21
212.021,207
108.021,103
108.019,103
106.002,101
30.0004,25
110.003,105
84.0065,79
108.002,103
110.025,105
110.01,105
106.027,101
46.0064,41
108.008,103
110.005,105
108.031,103
108.007,103
110.023,105
74.0011,69
108.002,103
108.003,103
90.0081,85
106.01,101
66.0257,61
108.042,103
106.066,101
110.132,105
110.272,105
108.004,103
108.008,103
108.079,103
108.05,103
108.031,103
110.056,105
110.021,105
110.22,105
102.052,97
30.0017,25
68.0154,63
104.003,99
212.009,207
108.176,103
108.002,103
110.021,105
106.003,101
18.0019,13
92.0201,87
108.224,103
110.002,105
44.0024,39
184.007,179
108.02,103
106.089,101
108.017,103
50.0158,45
110.013,105
110.021,105
108.039,103
60.0224,55
76.0046,71
110.022,105
12.0001,7
110.005,105
110.01,105
108.082,103
110.003,105
110.097,105
110.061,105
110.004,105
110.058,105
56.0013,51
220.004,215
110.02,105
110.009,105
106.181,101
66.0984,61
108.034,103
18.0013,13
110.114,105
104.033,99
106.024,101
108.002,103
110.028,105
108.075,103
110.003,105
216.004,211
110.314,105
108.022,103
110.007,105
110.007,105
220.008,215
106.002,101
108.111,103
108.019,103
68.0021,63
108.031,103
108.178,103
110.15,105
108.011,103
110.043,105
72.0028,67
108.01,103
66.0349,61
106.204,101
110.019,105
108.146,103
50.0038,45
110.09,105
104.04,99
110.228,105
110.032,105
102.025,97
110.019,105
110.042,105
108.004,103
106.013,101
110.002,105
110.142,105
110.004,105
110.007,105
110.002,105
110.045,105
110.095,105
110.087,105
212.086,207
110.051,105
106.005,101
52.0124,47
26.0152,21
106.007,101
212.18,207
110.002,105
110.002,105
110.033,105
36.0084,31
108.007,103
110.045,105
108.041,103
108.002,103
110.005,105
52.002,47
110.06,105
108.004,103
108.006,103
110.013,105
108.068,103
108.02,103
110.002,105
90.0036,85
106.008,101
14.0013,9
108.011,103
108.053,103
54.0169,49
86.0204,81
70.0016,65
108.014,103
110.014,105
106.002,101
108.006,103
106.004,101
110.157,105
108.141,103
108.003,103
108.039,103
106.004,101
216.15,211
110.018,105
110.013,105
108.011,103
92.0071,87
110.007,105
110.095,105
108.02,103
108.117,103
12.0001,7
30.0084,25
108.009,103
54.0011,49
106.012,101
108.003,103
108.092,103
76.0022,71
108.032,103
212.004,207
108.006,103
62.0016,57
110.091,105
108.09,103
108.015,103
34.0006,29
110.009,105
44.0003,39
110.024,105
104.023,99
110.005,105
108.003,103
98.0204,93
104.039,99
108.028,103
110.003,105
110.007,105
110.003,105
84.0399,79
108.003,103
106.203,101
110.161,105
108.034,103
106.032,101
32.0004,27
110.021,105
98.0024,93
34.0027,29
110.02,105
50.0103,45
108.029,103
72.0283,67
110.008,105
86.0073,81
106.003,101
110.004,105
108.654,103
108.003,103
110.072,105
108.005,103
106.031,101
46.0048,41
110.005,105
20.0003,15
106.013,101
108.076,103
110.064,105
110.039,105
110.002,105
108.025,103
40.0408,35
110.073,105
108.026,103
16.0008,11
110.005,105
110.002,105
108.003,103
110.037,105
106.013,101
110.033,105
156.004,151
110.06,105
78.0042,73
80.0605,75
108.006,103
110.034,105
14.0004,9
108.002,103
108.032,103
108.007,103
68.0074,63
108.042,103
86.0172,81
110.037,105
106.054,101
108.012,103
106.008,101
40.0009,35
110.012,105
216.118,211
110.003,105
110.002,105
86.0181,81
110.097,105
104.006,99
72.0622,67
110.127,105
110.175,105
110.175,105
30.0016,25
108.002,103
108.022,103
108.042,103
172.012,167
108.007,103
110.185,105
106.007,101
220.01,215
108.02,103
80.023,75
110.106,105
108.084,103
108.003,103
108.053,103
86.0153,81
110.019,105
108.002,103
110.017,105
220.014,215
108.093,103
104.014,99
106.021,101
110.001,105
102.007,97
14.0108,9
108.008,103
110.002,105
110.029,105
110.012,105
78.0098,73
106.047,101
110.004,105
104.084,99
104.003,99
20.0005,15
104.002,99
108.07,103
110.031,105
110.026,105
108.003,103
104.003,99
106.006,101
108.064,103
34.0112,29
110.003,105
108.097,103
110.007,105
108.007,103
70.086,65
106.017,101
14.0003,9
108.008,103
110.002,105
56.0039,51
104.012,99
108.129,103
66.0347,61
104.041,99
86.021,81
74.0757,69
108.001,103
110.044,105
104.007,99
106.002,101
108.002,103
110.002,105
106.003,101
106.003,101
110.255,105
36.0018,31
106.002,101
108.005,103
36.0051,31
110.005,105
108.006,103
216.277,211
110.104,105
108.002,103
110.001,105
106.007,101
108.158,103
110.094,105
108.021,103
92.0012,87
58.0015,53
106.053,101
110.248,105
110.016,105
110.003,105
106.19,101
106.211,101
98.0602,93
110.075,105
64.0012,59
108.005,103
110.366,105
108.024,103
110.1,105
96.0211,91
220.018,215
84.0293,79
102.029,97
108.03,103
318.007,313
188.276,183
108.043,103
110.023,105
94.0297,89
324.082,319
110.07,105
110.038,105
110.002,105
108.019,103
110.045,105
62.0102,57
106.013,101
108.09,103
212.02,207
106.022,101
42.0152,37
110.008,105
108.033,103
110.007,105
216.047,211
106.017,101
108.084,103
216.126,211
110.078,105
110.076,105
110.019,105
78.0099,73
80.0061,75
90.0187,85
110.408,105
22.0037,17
110.002,105
110.01,105
34.0023,29
74.1029,69
110.008,105
