gen_time,drift_time,long_diffusion,trans_diffusion
0.0236819,2679.34,0.007077,0.012009
0.0255882,2679.34,0.007077,0.012009
0.0217247,2930.17,0.007076,0.012003
0.00906652,2930.17,0.007076,0.012003
0.0166716,3531.99,0.007076,0.011994
0.028164,2435.78,0.007077,0.012022
0.0203844,2930.17,0.007076,0.012003
0.0206113,2930.17,0.007076,0.012003
0.00951793,2930.17,0.007076,0.012003
0.00791863,2780.4,0.007077,0.012007
0.0257827,2679.34,0.007077,0.012009
0.00945091,2930.17,0.007076,0.012003
0.00158477,2679.34,0.007077,0.012009
0.0332687,2224.65,0.007078,0.012027
0.0346715,2033.5,0.007078,0.012033
0.0174487,3531.99,0.007076,0.011994
0.0307964,2224.65,0.007078,0.012027
0.0297056,2435.78,0.007077,0.012022
0.0293392,2435.78,0.007077,0.012022
0.0184993,3531.99,0.007076,0.011994
0.0183473,3531.99,0.007076,0.011994
0.0321995,2224.65,0.007078,0.012027
0.0118638,2930.17,0.007076,0.012003
0.00689125,2780.4,0.007077,0.012007
0.0265502,2435.78,0.007077,0.012022
0.0228872,2679.34,0.007077,0.012009
0.000997916,2543.66,0.007077,0.012019
0.00137098,2679.34,0.007077,0.012009
0.0291701,2435.78,0.007077,0.012022
0.0323982,2224.65,0.007078,0.012027
0.0301244,2224.65,0.007078,0.012027
0.0050232,2780.4,0.007077,0.012007
0.0146666,3068.89,0.007076,0.011999
0.00607659,2780.4,0.007077,0.012007
0.00517039,2780.4,0.007077,0.012007
0.00440078,2679.34,0.007077,0.012009
0.0278567,2435.78,0.007077,0.012022
0.0270662,2435.78,0.007077,0.012022
0.0249687,2679.34,0.007077,0.012009
0.0204203,2930.17,0.007076,0.012003
0.034054,2033.5,0.007078,0.012033
0.0149726,3068.89,0.007076,0.011999
0.000814731,2543.66,0.007077,0.012019
0.00387521,2679.34,0.007077,0.012009
0.00845075,2930.17,0.007076,0.012003
0.00950053,2930.17,0.007076,0.012003
0.0221518,2930.17,0.007076,0.012003
0.0207284,2930.17,0.007076,0.012003
0.0245204,2679.34,0.007077,0.012009
0.0265669,2435.78,0.007077,0.012022
0.0060926,2780.4,0.007077,0.012007
0.00664914,2780.4,0.007077,0.012007
0.0345103,2033.5,0.007078,0.012033
0.0179006,3531.99,0.007076,0.011994
0.0212303,2930.17,0.007076,0.012003
0.0308557,2224.65,0.007078,0.012027
0.0265382,2435.78,0.007077,0.012022
0.0181543,3531.99,0.007076,0.011994
0.0254956,2679.34,0.007077,0.012009
0.03238,2224.65,0.007078,0.012027
0.0318736,2224.65,0.007078,0.012027
0.00720075,2780.4,0.007077,0.012007
0.0284397,2435.78,0.007077,0.012022
0.0297235,2435.78,0.007077,0.012022
0.0211615,2930.17,0.007076,0.012003
0.0191327,2930.17,0.007076,0.012003
0.0326048,2224.65,0.007078,0.012027
0.0301717,2224.65,0.007078,0.012027
0.00100096,2543.66,0.007077,0.012019
0.00653848,2780.4,0.007077,0.012007
