dNdx,percent_deltas,track_length
126.022,0,2.63447
171.754,0,0.949029
383.069,0,0.548204
211.366,0,0.515692
191.845,0,0.854856
167.48,0,1.20014
113.207,0,3.27718
127.398,0,3.06912
174.917,0,1.38923
216.067,0,0.879355
122.755,0,2.47647
127.536,0,2.83842
154.652,0.330033,1.95924
149.429,0,2.08126
118.247,0.411523,4.11003
159.521,0,1.85556
112.562,0,3.29596
230.889,0,0.463426
192.754,0,1.13617
466.787,0,0.254934
111.733,0,3.5889
160.93,0,0.658673
123.962,0,2.78311
1029.33,0,0.0971502
132.623,0,2.18666
172.454,0,1.08435
253.687,0,1.11555
117.025,0,3.62315
227.783,0,0.719983
196.009,0,1.1275
123.727,0,1.35783
119.862,0,2.72814
137.788,0,1.47328
113.251,0,3.38188
217.56,0,0.965251
152.257,0,1.91125
209.003,0,0.822956
202.905,0,0.9364
110.291,0,3.54517
143.57,0.383142,1.81793
190.218,0,0.799083
183.76,0.34965,1.55638
131.223,0,1.92039
105.896,0,2.0303
189.86,0,1.27989
135.353,0,2.52673
117.879,0,2.25655
112.465,0,3.16543
161.276,0,0.564251
163.335,0,1.22448
339.93,0,0.558939
184.912,0,1.10323
109.292,0,1.88486
134.166,0,2.14659
126.876,0,3.55466
148.253,0,1.18042
135.277,0,1.96633
178.805,0,0.9955
151.771,0,1.93054
219.029,0,1.0227
207.451,0,0.896595
132.316,0,1.82895
164.67,0,1.52426
466.925,0,0.569684
190.188,0,0.778176
126.409,0,4.01871
293.917,0,0.520555
284.219,0,0.369434
130.667,0,2.32653
208.758,0,0.80476
147.746,0,1.81392
130.578,0,2.28215
27347.3,0,0.00446114
161.442,0,1.49279
115.111,0,3.98747
112.084,0,3.28325
116.637,0,2.70069
422.823,0,0.409154
136.547,0,1.91142
131.244,0,1.30292
253.985,0,0.50003
187.808,0,0.644275
95.4956,0,4.31434
146.142,0,2.16912
394.66,0,0.15203
375.47,0,0.354223
118.535,0,2.76713
1185.49,0,0.0801356
121.432,0,3.45049
164.312,0,1.33891
159.021,0,1.67274
139.454,0,2.47394
117.208,0,3.1653
1090.22,0,0.108235
110.039,0,4.39844
572.277,0,0.351228
128.096,0,1.81895
147.871,0,1.88678
179.028,0,0.96633
544.516,0,0.202014
117.877,0,3.00313
138.372,0,0.896135
132.33,0,2.53911
273.308,0,0.589079
144.473,0,1.57123
114.111,0,3.11976
225.828,0,0.522522
248.884,0,0.470099
158.455,0,1.6156
104.747,0,3.58005
170.772,0,1.56349
174.961,0,1.71467
116.792,0,2.89403
139.526,0,2.02113
114.31,0,2.74692
220.008,0,0.38635
181.057,0,1.3863
196.184,0,1.18766
138.2,0,2.3372
118.225,0.23753,3.56101
115.183,0,2.77818
116.164,0,3.06463
130.965,0,3.05424
132.47,0.429185,1.75889
111.272,0,3.57683
312.581,0,0.873375
492.736,0,0.418074
921.621,0,0.151906
256.93,0,0.486514
99.6054,0,3.66446
591.785,0,0.280508
186.995,0,0.828898
2322.81,0,0.0512311
126.147,0,2.19585
247.203,0,0.614878
103.605,0.527704,3.65812
106.871,0,3.8832
206.631,0,0.73077
1450.74,0,0.063416
162.784,0,1.3822
147.764,0,1.87461
133.459,0,2.42022
207.376,0,1.1091
161.251,0,1.44495
173.848,0,1.01813
141.563,0.371747,1.90021
324.951,0,0.246191
178.946,0,0.659418
90.1018,0,2.13092
734.714,0,0.168773
108.54,0,3.4089
