dNdx,percent_deltas,track_length
104.787,0,2.8057
170.346,0,1.6085
167.582,0,1.69469
309.945,0,0.474277
113.05,0,3.52057
375.052,0,0.333287
132.544,0,2.30112
186.21,0,0.810914
316.137,0,0.249892
128.768,0,1.69297
737.786,0,0.13283
141.332,0,1.88917
117.547,0,1.94816
1162.99,0,0.107481
164.916,0,2.04347
150.64,0,0.949283
127.404,0,2.15849
178.667,0,1.24254
78.5234,0,0.573078
134.77,0,2.71573
108.298,0,3.45342
614.044,0,0.40388
123.301,0,1.51662
139.155,0,1.48037
113.91,0,3.42374
176.33,0,0.663528
124.038,0,2.41055
182.908,0,1.19186
114.085,0,2.27023
163.988,0,1.64646
103.447,0,2.52302
122.383,0,2.76999
193.704,0,0.387188
155.865,0,2.34818
383.312,0,0.380891
119.723,0,2.35543
255.604,0,0.790286
141.835,0,0.909505
172.832,0,0.792677
155.948,0,1.73134
117.39,0,3.35633
317.133,0,0.447761
113.893,0,2.59014
661.176,0,0.157295
177.563,0,0.709608
163.385,0,1.10169
313.499,0,0.491229
211.483,0,0.832217
167.15,0,1.17858
111.756,0,3.69553
100.411,0,3.03752
201.747,0,0.931858
294.096,0,0.632447
135.926,0,1.41989
113.035,0,2.93715
172.148,0,1.33606
24.7404,0,2.4656
98.6654,0,3.17234
180.458,0,1.26899
101.094,0,3.83803
4862.01,0,0.029206
196.161,0,0.871732
136.225,0,1.90861
390.817,0,0.347989
127.411,0,2.92754
111.893,0,1.84998
146.946,0,1.90546
7.33401,0,2.59067
268.199,0,0.589115
144.112,0,2.16498
676.329,0,0.167078
122.481,0,2.35139
77.7847,0,0.617088
322.54,0,0.176722
120.846,0,3.00381
123.132,0,2.80188
82.7235,0,1.45062
181.555,0,0.91983
122.881,0,3.15754
146.827,0,2.03641
152.459,0,0.537851
113.718,0,1.48613
123.624,0,2.19213
292.919,0,0.426739
158.941,0,1.42192
123.214,0,3.0029
178.792,0,1.02913
121.905,0,2.24765
176.977,0,0.892773
114.981,0,4.62686
212.558,0,0.997373
122.394,0,3.44788
215.993,0,0.750023
114.899,0,3.82075
111.597,0,2.10579
106.127,0,3.05295
126.158,0,2.29078
869.657,0,0.121887
161.876,0,1.45791
1911.67,0,0.0601569
480.87,0,0.355606
733.667,0,0.091322
902.642,0,0.0853051
148.481,0,2.33027
138.691,0,0.79313
129.065,0,2.61883
123.549,0,3.18901
130.264,0,2.41817
108.655,0,3.79181
130.709,0,1.41536
