dNdx,percent_deltas,track_length
447.386,0,0.201169
153.413,0,2.15106
138.055,0,2.52073
117.389,0,3.60341
127.636,0,3.00073
158.325,0,1.11164
1325.32,0,0.0769624
125.239,0,2.07603
455.757,0,0.408113
186.289,0,0.923298
164.895,0,1.39483
99.9358,0,3.09199
135.658,0,0.973035
182.487,0,0.975413
122.227,0,2.95353
182.7,0,0.673234
80.9943,0,2.56808
107.269,0,2.79672
453.059,0,0.282524
755.997,0,0.149471
151.711,0,1.7072
121.084,0,2.34547
105.965,0.26738,3.52947
289.77,0,0.424474
152.274,0,1.83222
129.982,0,2.26186
595.685,0,0.110797
761.832,0,0.166704
139.939,0,1.85081
118.673,0,2.7976
128.392,0,2.04062
109.271,0,3.04747
168.072,0,0.785377
131.58,0,0.668793
140.464,0,2.18561
317.038,0,0.479438
2287.77,0,0.0441477
111.578,0,4.13166
1402.84,0.813008,0.0876792
129.672,0,2.66826
228.307,0,0.932956
106.191,0.240385,3.91746
248.037,0,0.467671
166.347,0,0.811556
129.778,0,1.30993
126.554,0,3.48468
130.646,0,1.8753
138.246,0,2.03984
124.413,0,3.31958
139.083,0,1.39485
151.499,0,1.98682
114.503,0,3.53702
149.422,0.729927,0.916868
117.321,0,2.69345
247.433,0,1.27712
136.189,0,1.821
115.102,0,3.28404
140.401,0,1.58119
212.263,0,0.706669
136.097,0,1.80754
341.393,0,0.492101
119.059,0,2.23418
142.575,0,1.98493
155.572,0,2.01836
108.302,0,1.80051
958.473,0,0.175279
431.312,0,0.224895
89.9096,0,3.7927
298.995,0,0.505025
111.021,0,2.99043
133.632,0,2.5892
114.524,0,3.62368
159.239,0,1.35645
137.633,0,1.7583
171.74,0,1.49063
138.687,0,1.09599
121.637,0,1.71001
113.605,0,2.86959
236.847,0,0.78954
137.212,0,2.33945
201.435,0,0.893587
116.234,0,3.3381
145.138,0,2.07389
123.009,0,3.18675
272.963,0,0.362687
102.749,0,4.00003
179.485,0,1.44302
127.727,0,2.20783
423.77,0,0.585223
129.292,0,1.71705
113.906,0,3.30097
131.088,0,2.56316
337.99,0,0.307701
204.925,0,1.17604
2221.22,0,0.0711321
289.812,0,0.527928
267.67,0,0.769605
