initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.027847,0.976661,0.212972,-7.36149,159.831,34.8787,-165.118,1083.41,238.79,-4.5508,159.935,34.8757,-30.7987,1095.57,238.898
0.534586,-0.0707019,-0.842152,219.987,-19.35,-345.015,720.125,8.30902,-1128.55,158.617,-20.995,-249.878,1086.43,-144.488,-1711.66
0.72795,0.0263141,0.685125,161.628,9.69676,152.291,1074.34,216.601,1033.58,159.896,5.76742,150.489,1095.31,39.0049,1030.85
-0.460119,0.00450341,-0.887846,-280.966,-15.6868,-543.132,-562.319,-69.0885,-1095.88,-159.992,1.58576,-308.721,-1095.94,11.6575,-2114.74
0.0229408,-0.984106,0.176091,6.5088,-159.868,28.6233,157.033,-1084.66,198.372,3.71952,-159.957,28.6219,25.1072,-1095.71,196.06
0.952964,-0.298997,-0.049609,153.46,-45.2756,-7.94881,1077.17,-202.069,-55.2991,152.659,-47.9072,-7.94723,1045.61,-328.514,-54.4385
0.993118,-0.117093,0.00256924,159.197,-16.0115,0.407935,1095.98,0.607431,2.00576,158.898,-18.7441,0.41108,1088.41,-128.76,2.8159
0.648611,0.662736,0.37428,109.778,116.4,64.5837,660.891,874.297,441.556,111.919,114.342,64.5787,766.927,782.968,442.364
-0.436944,-0.831255,-0.343648,-71.8578,-142.956,-58.5585,-381.997,-1027.23,-399.122,-74.4535,-141.622,-58.5494,-510.351,-969.927,-401.064
0.640023,0.76611,0.0587059,100.46,124.53,9.41321,602.033,915.821,68.4069,102.588,122.783,9.40917,703.007,840.831,64.4528
0.248166,-0.50403,0.827265,100.127,-184.409,309.04,438.524,-634.339,1139.38,70.6613,-143.551,235.599,483.446,-983.614,1613.85
0.533153,0.643923,-0.548736,99.4952,125.302,-105.025,571.822,934.943,-724.797,102.048,123.232,-105.022,699.364,843.863,-719.4
0.522379,0.826129,0.211262,83.1218,136.714,34.5932,471.623,989.336,235.442,85.5185,135.228,34.5825,586.118,926.111,236.89
