energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1995.67,-165.118,1083.41,238.79,960.587,0.000192129,19.8628
1999.81,720.125,8.30902,-1128.55,930.411,0.000192177,19.902
1996.98,1074.34,216.601,1033.58,1287.73,0.000192144,19.8752
1999.1,-562.319,-69.0885,-1095.88,622.64,0.000192169,19.8953
0.68285,-448.013,-44.1477,-1071.13,622.64,0.00560242,2.11147
1995.96,157.033,-1084.66,198.372,953.851,0.000192133,19.8656
1995.63,1077.17,-202.069,-55.2991,939.749,0.000192129,19.8624
0.516843,837.789,-180.19,-1157.63,939.749,0.00699728,1.74525
1996.11,1095.98,0.607431,2.00576,938.532,0.000192134,19.867
1995.73,660.891,874.297,441.556,1011.8,0.00019213,19.8634
1996.09,-381.997,-1027.23,-399.122,998.778,0.000192134,19.8668
1994.21,602.033,915.821,68.4069,940.326,0.000192112,19.849
1999.76,438.524,-634.339,1139.38,1003.82,0.000192176,19.9016
1995.75,571.822,934.943,-724.797,1125.68,0.00019213,19.8636
1996.25,471.623,989.336,235.442,959.866,0.000192136,19.8683
1994.66,993.599,-462.5,988.903,1264.52,0.000192118,19.8533
1999.76,78.6602,-1050.62,1199.42,1333.12,0.000192176,19.9015
1990.03,285.367,1058.12,676.061,1102.77,0.000192064,19.8093
3.15969,51.1837,151.644,88.53,1102.77,0.00159832,7.11341
1993.51,-923.056,-590.844,-1011.35,1277.08,0.000192104,19.8423
1993.84,-337.881,1042.55,-829.473,1176.94,0.000192108,19.8454
1999.78,641.612,510.624,-1149.71,1068.22,0.000192177,19.9018
1995.33,697.918,-845.051,524.28,1040.69,0.000192125,19.8596
1994.98,974.768,-500.898,805.475,1165.14,0.000192121,19.8562
0.612551,974.319,-501.813,808.95,1165.14,0.0061123,1.95817
1994.74,-596.962,919.072,187.554,952.174,0.000192119,19.854
1995.1,652.681,880.441,-459.149,1017.74,0.000192123,19.8574
0.310928,106.085,119.774,-63.9489,2087.21,0.0103904,inf
1995.8,659.689,-875.127,-71.525,940.51,0.000192131,19.864
1995.46,-667.394,869.328,168.245,949.582,0.000192127,19.8608
1999.8,-707.615,418.65,-1150.19,1070.76,0.000192177,19.9019
1994.98,-85.7023,1092.6,-619.079,1078.33,0.000192121,19.8562
1994.03,238.975,1069.61,-230.795,959.182,0.00019211,19.8472
1994.95,-727.949,-819.256,-739.864,1132.43,0.000192121,19.856
