initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.497562,-0.454184,-0.739019,-122.417,-117.958,-186.478,-632.558,-801.257,-1124.24,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
0.956322,0.273421,0.103386,153.055,46.6294,16.637,1007.07,420.924,113.438,153.838,43.9743,16.6308,2324.36,662.378,251.219
0.794379,-0.0206102,-0.607073,159.998,-0.702689,-122.243,1083.47,132.029,-837.596,159.946,-4.16129,-122.233,2416.02,-65.3061,-1846.4
-0.395658,0.895655,-0.203115,-67.193,145.207,-33.1782,-555.674,939.42,-226.527,-64.6445,146.359,-33.1903,-974.678,2211.65,-501.36
0.733776,0.677585,0.049507,115.67,110.546,7.93101,709.64,829.238,53.5175,117.555,108.54,7.93084,1777.06,1638.13,119.8
-0.234448,-0.899531,0.368616,-37.4971,-155.544,63.4499,-139.021,-1082.59,434.24,-40.3627,-154.825,63.4463,-611.729,-2338.2,958.397
-0.330274,-0.885382,-0.327136,-53.1953,-150.898,-55.3971,-252.307,-1061.84,-378.729,-55.9298,-149.906,-55.3895,-846.783,-2263.71,-836.693
-0.330274,-0.885382,-0.327136,-52.253,-151.227,-55.7245,669.703,-851.11,-568.162,-55.9298,-149.906,-55.3895,-846.783,-2263.71,-836.693
0.250606,-0.901014,-0.354077,45.6958,-153.336,-60.58,421.283,-1006.86,-414.47,42.8651,-154.151,-60.5766,645.499,-2329.11,-915.048
0.274659,0.938282,0.210211,42.2561,154.319,34.4042,180.661,1076.39,234.504,44.9587,153.554,34.4025,681.039,2318.96,519.671
-0.293107,0.632596,0.716876,-73.1171,147.915,169.678,-617.932,899.686,1127.52,-67.253,145.179,164.515,-1013.37,2194.2,2485.1
0.751773,0.550785,-0.362592,127.31,96.9126,-62.2648,792.216,750.716,-426.461,129.073,94.5528,-62.251,1950.96,1426.6,-940.341
-0.498435,0.597249,-0.628376,-105.193,120.559,-129.233,-817.696,722.946,-885.849,-102.509,122.849,-129.244,-1546.54,1857.32,-1952.31
-0.200405,0.914813,-0.350649,-37.0898,155.642,-59.9108,-365.392,1028.47,-410.596,-34.2292,156.296,-59.9075,-515.025,2361.39,-904.94
-0.900287,0.209191,-0.381736,-156.49,33.3293,-66.0926,-1085.67,111.996,-452.819,-155.846,36.2225,-66.082,-2353.67,549.214,-998.21
-0.698871,-0.00258269,0.715243,-164.931,-4.77448,168.882,-1075.42,-186.534,1122.06,-159.999,-0.578216,163.747,-2416.89,-5.95082,2473.5
-0.897695,0.420814,0.130609,-146.022,65.4023,21.0791,-1036.03,343.44,143.68,-144.868,67.9204,21.078,-2187.49,1027.76,318.397
0.610699,0.756464,-0.234112,98.2877,126.252,-38.5243,578.465,925.605,-262.157,100.512,124.488,-38.5287,1519.86,1879.21,-582.001
-0.48453,0.197455,0.852199,-207.265,73.7654,358.488,-207.365,73.796,358.659,-148.162,60.3978,260.602,-2236.68,915.788,3936.56
-0.48453,0.197455,0.852199,-212.052,75.2265,366.644,-617.66,161.656,1043.27,-148.162,60.3978,260.602,-2236.68,915.788,3936.56
0.957328,-0.273567,-0.0931905,154.574,-41.3146,-14.9734,1077.22,-175.36,-102.77,153.839,-43.9708,-14.9757,2323.3,-666.084,-226.217
-0.975848,-0.0346803,0.215682,-159.775,-8.48837,35.3418,-1078.29,-168.859,240.95,-159.899,-5.67326,35.341,-2415.45,-83.7071,533.848
-0.145559,0.867469,-0.47572,-29.5427,157.249,-86.539,-322.607,1042.69,-592.384,-26.4672,157.796,-86.5343,-397.623,2383.97,-1307.15
-0.528512,-0.835409,-0.150887,-83.1849,-136.676,-24.4371,-470.858,-984.654,-165.888,-85.5491,-135.209,-24.4216,-1293.93,-2041.36,-368.903
-0.942656,0.333589,-0.0108525,-151.724,50.7924,-1.73637,-1064.4,241.463,-11.7999,-150.831,53.3859,-1.7365,-2277.74,808.262,-26.2309
-0.980505,0.196092,-0.0125498,-157.406,28.6915,-2.01213,-1087.88,88.0657,-13.5599,-156.891,31.3862,-2.00813,-2369.56,476.016,-30.3341
0.650225,0.722662,0.234449,104.902,120.812,38.5953,627.421,893.14,264.208,107.026,118.935,38.5872,1618.18,1795.24,582.885
0.706754,-0.0736001,-0.703621,159.491,-12.7485,-158.442,163.465,-12.9685,-162.382,159.138,-16.5853,-158.434,2403.59,-253.254,-2393.25
0.706754,-0.0736001,-0.703621,164.485,-13.0242,-163.393,1089.45,66.6164,-1085.47,159.138,-16.5853,-158.434,2403.59,-253.254,-2393.25
0.402374,0.745499,0.531344,73.1388,142.305,100.367,380.836,1022.88,687.567,76.0046,140.795,100.353,1150.12,2125.71,1515.9
-0.555134,0.0193046,0.831537,-204.998,-0.943269,306.964,-206.718,-1.01987,309.542,-159.903,5.57701,239.52,-2415.31,87.7442,3618.1
-0.555134,0.0193046,0.831537,-209.997,-1.16903,314.455,-700.859,-71.1774,1057.63,-159.903,5.57701,239.52,-2415.31,87.7442,3618.1
-0.117176,-0.94892,-0.29295,-16.7689,-159.119,-49.0212,-1.163,-1091.45,-334.748,-19.6179,-158.793,-49.0227,-298.36,-2398.41,-740.519
-0.598354,0.533774,-0.597544,-121.642,103.939,-119.244,-911.646,600.216,-815.213,-119.389,106.519,-119.235,-1801.83,1610.84,-1801.12
-0.318312,-0.219442,0.922238,-312.436,-273.146,992.338,-313.578,-274.406,996.396,-131.744,-90.7944,381.658,-1992.92,-1367.36,5765.19
0.957044,0.262158,-0.123853,153.564,44.9247,-19.9712,1011.48,410.158,-136.37,154.318,42.2618,-19.9702,2331.58,636.5,-301.663
0.596421,-0.275408,-0.753945,156.255,-66.9645,-195.119,156.255,-66.9645,-195.119,145.255,-67.0893,-183.627,2192.92,-1016.11,-2773.8
0.596421,-0.275408,-0.753945,160.907,-68.8037,-200.859,927.647,-262.005,-1110.82,145.255,-67.0893,-183.627,2192.92,-1016.11,-2773.8
0.218624,-0.361305,0.906456,190.539,-263.287,698.108,191.75,-264.697,702.096,82.8132,-136.901,343.435,1247,-2070.36,5187.81
