energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.73,-632.558,-801.257,-1124.24,1269.31,0.000192176,19.9013
1999.42,1007.07,420.924,113.438,939.009,0.000192172,19.8983
1999.42,1083.47,132.029,-837.596,1177.63,0.000192172,19.8983
1999.24,-555.674,939.42,-226.527,953.873,0.00019217,19.8966
1999.35,709.64,829.238,53.5175,935.106,0.000192172,19.8976
1999.53,-139.021,-1082.59,434.24,1005.29,0.000192174,19.8994
1998.9,-252.307,-1061.84,-378.729,988.66,0.000192166,19.8934
0.0309004,669.703,-851.11,-568.162,2126.85,0.0422367,inf
1999.43,421.283,-1006.86,-414.47,999.125,0.000192173,19.8984
1999.37,180.661,1076.39,234.504,955.265,0.000192172,19.8979
1999.68,-617.932,899.686,1127.52,1336.23,0.000192175,19.9008
1999.38,792.216,750.716,-426.461,1002.86,0.000192172,19.898
1999.41,-817.696,722.946,-885.849,1203.32,0.000192172,19.8982
1999.43,-365.392,1028.47,-410.596,998.004,0.000192173,19.8984
1999.2,-1085.67,111.996,-452.819,1011.27,0.00019217,19.8962
1999.79,-1075.42,-186.534,1122.06,1332.87,0.000192177,19.9019
1999.45,-1036.03,343.44,143.68,942.049,0.000192173,19.8986
1999.48,578.465,925.605,-262.157,960.528,0.000192173,19.8989
1999.94,-207.365,73.796,358.659,0.223723,0.000192178,19.9032
1999.81,-617.66,161.656,1043.27,794.109,0.000192177,19.902
1999.5,1077.22,-175.36,-102.77,938.116,0.000192173,19.8991
1999.51,-1078.29,-168.859,240.95,956.473,0.000192174,19.8992
1999.45,-322.607,1042.69,-592.384,1062.84,0.000192173,19.8986
1999.46,-470.858,-984.654,-165.888,944.688,0.000192173,19.8987
1999.44,-1064.4,241.463,-11.7999,934.044,0.000192173,19.8985
1999.48,-1087.88,88.0657,-13.5599,934.044,0.000192173,19.8989
1999.48,627.421,893.14,264.208,960.99,0.000192173,19.8989
1999.96,163.465,-12.9685,-162.382,5.67039,0.000192179,19.9035
1999.76,1089.45,66.6164,-1085.47,1316.35,0.000192176,19.9016
1999.04,380.836,1022.88,687.567,1104.09,0.000192168,19.8947
1999.94,-206.718,-1.01987,309.542,3.19065,0.000192178,19.9032
1999.8,-700.859,-71.1774,1057.63,897.072,0.000192177,19.9019
1999.39,-1.163,-1091.45,-334.748,976.933,0.000192172,19.8981
1999.09,-911.646,600.216,-815.213,1165.9,0.000192169,19.8952
1999.82,-313.578,-274.406,996.396,4.49633,0.000192177,19.9021
1999.48,1011.48,410.158,-136.37,941.251,0.000192173,19.8989
1999.96,156.255,-66.9645,-195.119,0.0272659,0.000192179,19.9034
1999.79,927.647,-262.005,-1110.82,1207.07,0.000192177,19.9019
1999.86,191.75,-264.697,702.096,4.41915,0.000192178,19.9025
1999.86,196.712,-270.447,718.387,15.0073,0.000192178,19.9025
1999.82,288.288,-369.14,1007.27,332.375,0.000192177,19.9021
1999.43,-60.1914,1089.83,-607.396,1069,0.000192173,19.8984
1999.29,-851.878,682.394,-356.614,982.573,0.000192171,19.8971
1999.21,-992.951,453.082,-451.596,1010.83,0.00019217,19.8963
1999.49,-815.915,-724.923,294.752,967.434,0.000192173,19.899
1999.28,1033.36,-351.171,259.671,960.074,0.000192171,19.897
1999.94,22.2604,-186.107,244.19,4.01431,0.000192178,19.9033
1999.76,190.437,-805.796,1082.8,1056.85,0.000192176,19.9015
1999.02,1072.52,-202.507,-880.94,1200.41,0.000192168,19.8945
1999.45,-1082.24,-141.427,2.85967,933.975,0.000192173,19.8986
1999.91,-36.836,-224.644,375.005,5.1326,0.000192178,19.903
1999.8,-49.7575,-628.621,1041.47,780.298,0.000192177,19.902
1999.35,-1083.37,-132.579,163.02,944.343,0.000192172,19.8977
1999.18,-401.168,-1015.01,348.773,980.539,0.00019217,19.8961
1999.5,-1042.07,-324.716,-609.163,1069.74,0.000192173,19.8991
1999.48,198.988,1073.12,192.146,948.335,0.000192173,19.8989
1999.53,836.453,-701.086,193.364,948.546,0.000192174,19.8993
1999.1,738.018,-804.12,668.079,1095.23,0.000192169,19.8953
1999.45,-128.863,-1083.85,-128.562,940.442,0.000192173,19.8986
1999.03,-507.723,966.215,451.14,1010.64,0.000192168,19.8946
1999.28,-479.718,980.333,218.765,952.567,0.000192171,19.897
1999.79,929.531,-572.025,1078.95,1313.83,0.000192177,19.9018
1999.51,730.272,811.149,-161.839,944.182,0.000192174,19.8992
1999.97,4.30224,163.849,-162.419,5.5167,0.000192179,19.9035
1999.79,-124.161,1084.39,-1087.07,1317.24,0.000192177,19.9018
1999.96,-15.6705,-166.864,-178.754,3.84198,0.000192179,19.9034
1999.77,48.3209,-1055.11,-1131.42,1306.49,0.000192176,19.9016
1999.88,-212.098,177.54,-538.529,3.54939,0.000192178,19.9027
1999.79,-418.911,311.425,-1017.96,535.209,0.000192177,19.9018
1999.46,-1005.63,424.261,475.667,1018.94,0.000192173,19.8987
1999.51,-1091.18,-23.7879,25.72,934.251,0.000192174,19.8992
1999.38,811.65,729.77,398.211,994.237,0.000192172,19.8979
1999.85,297.051,-50.7276,620.285,3.16511,0.000192177,19.9024
1999.84,304.961,-51.4655,636.623,13.0476,0.000192177,19.9023
1999.78,487.498,-59.9326,1012.64,429.525,0.000192177,19.9018
1981.9,-342.851,1036.22,-218.491,952.643,0.00019197,19.7323
1999.84,-328.924,70.5812,734.807,3.41535,0.000192177,19.9023
1999.84,-336.345,71.5002,751.117,12.7798,0.000192177,19.9023
1999.8,-452.438,82.1467,1005.44,289.863,0.000192177,19.902
1999.22,-1075.47,-186.267,636.619,1081.38,0.00019217,19.8965
1999.95,185.371,4.40805,-244.199,0.703119,0.000192179,19.9033
1999.36,810.728,111.089,-1081.08,1044.1,0.000192172,19.8977
1999.42,-113.278,-1085.53,-383.614,990.024,0.000192173,19.8984
1999.47,-584.64,-921.648,29.7702,934.333,0.000192173,19.8988
1999.36,-1009.27,-415.606,263.768,960.898,0.000192172,19.8978
1999.3,28.3034,-1091.1,-144.028,942.077,0.000192171,19.8972
1999.48,-267.532,-1058.12,76.9323,936.302,0.000192173,19.8989
1999.2,178.704,-1076.72,508.961,1030.58,0.00019217,19.8962
1999.82,-292.371,-109.592,653.023,5.23082,0.000192177,19.9022
1999.77,-444.189,-188.306,1010.83,395.46,0.000192177,19.9016
1998.81,849.098,-685.741,299.644,968.596,0.000192165,19.8925
1999.85,-303.401,134.303,-718.417,4.35546,0.000192177,19.9024
1999.85,-310.57,136.757,-734.813,14.7647,0.000192177,19.9024
1999.81,-430.993,173.443,-1007.28,313.359,0.000192177,19.902
1999.91,224.161,-32.0861,-374.958,2.88733,0.000192178,19.903
1999.62,626.297,-36.9335,-1041.47,774.706,0.000192175,19.9003
1999.81,272.868,-197.475,-734.756,4.47122,0.000192177,19.9021
1999.81,279.325,-201.332,-751.146,14.9035,0.000192177,19.902
1999.78,381.335,-257.94,-1005.4,293.113,0.000192177,19.9017
1999.32,-654.392,-873.478,549.725,1045.83,0.000192171,19.8974
1999.45,-733.355,-808.396,-471.194,1017.4,0.000192173,19.8986
1999.52,-878.923,647.192,262.503,960.663,0.000192174,19.8993
1999.32,1067.85,-225.708,-539.934,1042.1,0.000192171,19.8974
1998.74,-883.968,640.249,501.187,1027.91,0.000192165,19.8919
1999.39,-1091.43,1.61683,43.3463,934.763,0.000192172,19.8981
1999.39,1051.43,-292.72,-678.614,1099.93,0.000192172,19.898
1999.96,78.7187,159.677,-211.464,4.73766,0.000192179,19.9034
1999.8,302.932,875.473,-1104.46,1169.19,0.000192177,19.902
1999.17,-514.725,962.507,394.531,993.202,0.00019217,19.8959
1999.88,-180.42,178.273,-456.737,7.57612,0.000192178,19.9027
1999.8,-432.6,371.444,-1028.83,659.327,0.000192177,19.9019
0.149195,877.748,634.388,453.879,2665.42,0.0177013,inf
1999.43,-824.254,-715.44,481.334,1020.84,0.000192173,19.8985
1999.47,687.66,-847.613,214.377,951.848,0.000192173,19.8988
1999.22,-996.321,445.568,-425.533,1002.52,0.00019217,19.8964
1999.37,-438.328,999.531,-630.104,1078.48,0.000192172,19.8979
1999.43,1074.61,-190.95,415.828,999.565,0.000192173,19.8984
1999.41,-217.57,-1069.55,158.372,943.776,0.000192172,19.8983
1999.3,-928.7,573.476,-394.832,993.281,0.000192171,19.8972
1998.88,671.242,860.68,210.874,951.262,0.000192166,19.8932
1999.43,784.276,-759.013,459.015,1013.29,0.000192173,19.8984
