time_ns,signal
0.25,0
0.75,-1.32645e-06
1.25,-5.12636e-06
1.75,-1.09665e-05
2.25,-1.84885e-05
2.75,-2.74669e-05
3.25,-3.76977e-05
3.75,-4.89962e-05
4.25,-6.11955e-05
4.75,-7.40218e-05
5.25,-8.73177e-05
5.75,-0.000100979
6.25,-0.000114843
6.75,-0.00012873
7.25,-0.000142586
7.75,-0.000156364
8.25,-0.000169984
8.75,-0.000183297
9.25,-0.000196286
9.75,-0.00020894
10.25,-0.000221253
10.75,-0.000233191
11.25,-0.000244683
11.75,-0.000255739
12.25,-0.000266364
12.75,-0.000276527
13.25,-0.000286225
13.75,-0.00029541
14.25,-0.000304109
14.75,-0.000312346
15.25,-0.000320138
15.75,-0.000327477
16.25,-0.000334336
16.75,-0.000340721
17.25,-0.000346666
17.75,-0.000352199
18.25,-0.00035735
18.75,-0.000362144
19.25,-0.000366526
19.75,-0.000370504
20.25,-0.00037411
20.75,-0.000377376
21.25,-0.000380328
21.75,-0.000382994
22.25,-0.000385343
22.75,-0.000387387
23.25,-0.000389134
23.75,-0.000390612
24.25,-0.000391847
24.75,-0.000392864
25.25,-0.000393654
25.75,-0.000394218
26.25,-0.000394582
26.75,-0.000394761
27.25,-0.000394754
27.75,-0.000394582
28.25,-0.000394266
28.75,-0.000393778
29.25,-0.00039314
29.75,-0.000392371
30.25,-0.000391489
30.75,-0.000390508
31.25,-0.000389422
31.75,-0.000388243
32.25,-0.000386948
32.75,-0.000385556
33.25,-0.000384083
33.75,-0.000382544
34.25,-0.000380953
34.75,-0.000379321
35.25,-0.000377648
35.75,-0.000375902
36.25,-0.000374093
36.75,-0.000372235
37.25,-0.000370341
37.75,-0.000368423
38.25,-0.000366489
38.75,-0.000364548
39.25,-0.000362596
39.75,-0.000360607
40.25,-0.000358588
40.75,-0.000356549
41.25,-0.000354499
41.75,-0.000352449
42.25,-0.000350405
42.75,-0.000348373
43.25,-0.000346344
43.75,-0.000344311
44.25,-0.000342275
44.75,-0.000340233
45.25,-0.000338194
45.75,-0.000336165
46.25,-0.000334153
46.75,-0.000332163
47.25,-0.000330186
47.75,-0.000328215
48.25,-0.000326256
48.75,-0.000324315
49.25,-0.000322383
49.75,-0.000320463
50.25,-0.000318563
50.75,-0.000316686
51.25,-0.000314836
51.75,-0.000312993
52.25,-0.000311164
52.75,-0.000309354
53.25,-0.000307566
53.75,-0.000305804
54.25,-0.000304059
54.75,-0.000302334
55.25,-0.000300634
55.75,-0.000298955
56.25,-0.000297286
56.75,-0.000295633
57.25,-0.000293999
57.75,-0.000292389
