initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.497562,-0.454184,-0.739019,-115.392,-110.837,-175.51,-116.955,-112.418,-177.948,-115.394,-110.834,-175.536,-675.815,-882.317,-1225.6
-0.497562,-0.454184,-0.739019,-122.241,-117.78,-186.204,-616.643,-773.028,-1088.67,-115.394,-110.834,-175.536,-675.815,-882.317,-1225.6
-0.595464,-0.701653,0.391287,-101.245,-123.893,68.037,-584.603,-891.283,454.25,-101.243,-123.894,68.034,-603.701,-933.142,473.877
-0.940335,0.280909,0.191988,-154.083,43.1111,31.302,-1049.9,184.241,208.603,-154.081,43.1182,31.3019,-1095.58,186.844,217.955
0.672804,0.44195,0.593309,131.832,90.6661,117.937,798.533,706.085,788.604,131.832,90.6657,117.937,828.668,740.621,822.165
-0.636352,0.323031,-0.700505,-144.365,68.9829,-157.068,-1015.33,324.394,-1051.18,-144.365,68.9829,-157.068,-1060.95,331.039,-1096.04
-0.569664,-0.717041,-0.401666,-97.1795,-127.107,-70.173,-553.246,-911.079,-468.637,-97.1704,-127.114,-70.1804,-572.59,-952.55,-488.84
0.258765,-0.952934,-0.157977,44.5977,-153.659,-25.5991,396.32,-989.433,-170.399,44.5976,-153.659,-25.5991,418.201,-1029.72,-178.241
0.0875203,0.536209,-0.839536,25.1471,207.23,-322.681,25.8867,216.714,-337.391,20.7895,158.644,-247.279,-65.2,1109.49,-1731.38
0.0875203,0.536209,-0.839536,25.9053,216.959,-337.77,21.0067,656.766,-1018.78,20.7895,158.644,-247.279,-65.2,1109.49,-1731.38
-0.856227,-0.0671126,0.512223,-159.229,-15.6847,95.4275,-1042.37,-222.642,637.554,-159.23,-15.6774,95.4308,-1085.33,-239.309,664.976
-0.311197,-0.866041,0.391319,-51.3002,-151.553,68.0342,-233.316,-1040.06,454.001,-51.2978,-151.554,68.0405,-237.636,-1085.7,473.922
-0.382209,0.80266,-0.457878,-71.5528,143.109,-82.4173,-579.595,894.551,-549.973,-71.5548,143.108,-82.4115,-607.651,930.575,-574.134
0.92517,0.116564,-0.361211,158.351,22.9127,-61.9815,1033.45,260.89,-412.353,158.351,22.9095,-61.9817,1075.99,278.311,-431.69
-0.758025,-0.439414,-0.481989,-136.828,-82.9341,-88.025,-844.696,-650.097,-588.073,-136.831,-82.9293,-88.0222,-877.053,-682.633,-613.275
0.292956,-0.548318,0.783277,89.4346,-155.633,226.197,496.409,-673.625,1057.46,79.253,-138.993,201.618,701.446,-862.081,1408.98
