initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.497562,-0.454184,-0.739019,-115.392,-110.837,-175.51,-116.955,-112.418,-177.948,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-122.241,-117.78,-186.204,-169.553,-166.945,-261.016,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-172.331,-169.9,-265.462,-228.06,-230.815,-355.985,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-230.869,-233.972,-360.619,-301.15,-315.836,-478.939,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-301.524,-316.288,-479.582,-435.039,-489.23,-719.241,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-435.452,-489.805,-720.017,-557.067,-672.258,-960.517,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
-0.497562,-0.454184,-0.739019,-557.444,-672.869,-961.305,-616.63,-772.863,-1088.72,-118.18,-107.859,-175.517,-1787.13,-1627.14,-2651.3
0.147545,-0.497171,0.855015,71.515,-206.465,360.341,73.5132,-211.474,369.233,45.504,-153.393,263.79,683.769,-2318.16,3984.72
0.147545,-0.497171,0.855015,75.1395,-215.528,376.435,78.7962,-224.565,392.509,45.504,-153.393,263.79,683.769,-2318.16,3984.72
0.147545,-0.497171,0.855015,80.3135,-228.284,399.133,112.873,-304.197,535.331,45.504,-153.393,263.79,683.769,-2318.16,3984.72
0.147545,-0.497171,0.855015,114.617,-308.069,542.333,161.221,-405.491,720.402,45.504,-153.393,263.79,683.769,-2318.16,3984.72
0.147545,-0.497171,0.855015,161.501,-406.044,721.423,245.273,-557.767,1007.23,45.504,-153.393,263.79,683.769,-2318.16,3984.72
-0.665115,0.412343,-0.622571,-137.795,81.3182,-127.296,-206.186,118.795,-189.422,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.665115,0.412343,-0.622571,-209.752,120.698,-192.642,-282.981,158.661,-258.349,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.665115,0.412343,-0.622571,-286.803,160.586,-261.758,-383.795,207.571,-347.621,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.665115,0.412343,-0.622571,-384.387,207.848,-348.142,-584.904,294.127,-522.053,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.665115,0.412343,-0.622571,-585.548,294.382,-522.606,-791.451,368.695,-696.965,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.665115,0.412343,-0.622571,-792.09,368.904,-697.501,-985.818,426.388,-858.432,-135.981,84.3161,-127.289,-2052.76,1275.76,-1922.78
-0.95496,-0.264349,-0.134801,-153.442,-45.3373,-21.7748,-227.617,-69.3856,-32.3839,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.95496,-0.264349,-0.134801,-231.452,-70.6667,-32.9342,-309.413,-97.5168,-44.1538,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.95496,-0.264349,-0.134801,-313.453,-98.9506,-44.7372,-414.56,-136.217,-59.3995,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.95496,-0.264349,-0.134801,-415.138,-136.438,-59.4836,-616.92,-219.012,-89.1484,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.95496,-0.264349,-0.134801,-617.601,-219.31,-89.2495,-815.6,-311.485,-118.965,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.95496,-0.264349,-0.134801,-816.255,-311.81,-119.065,-994.818,-405.041,-146.47,-154.203,-42.6765,-21.7668,-2329.86,-642.763,-328.801
-0.580505,0.061733,-0.811913,-188.768,13.4947,-263.113,-196.301,13.7619,-273.582,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.580505,0.061733,-0.811913,-198.518,13.8366,-276.664,-237.525,14.854,-330.861,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.580505,0.061733,-0.811913,-241.539,14.9267,-336.436,-324.104,15.1176,-451.129,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.580505,0.061733,-0.811913,-328.355,15.0599,-457.034,-436.242,11.3815,-606.991,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.580505,0.061733,-0.811913,-436.836,11.3494,-607.818,-654.597,-9.17993,-911.732,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.580505,0.061733,-0.811913,-655.318,-9.27719,-912.742,-741.974,-22.4045,-1034.49,-159.101,16.9351,-222.526,-2402.97,259.129,-3361.4
-0.244137,0.537065,0.807439,-84.1677,169.503,259.061,-107.72,212.201,325.788,-66.1981,145.663,218.985,-996.961,2201.7,3307.9
-0.244137,0.537065,0.807439,-109.699,215.708,331.299,-151.397,286.99,444.308,-66.1981,145.663,218.985,-996.961,2201.7,3307.9
-0.244137,0.537065,0.807439,-153.591,290.609,450.099,-211.428,381.756,597.795,-66.1981,145.663,218.985,-996.961,2201.7,3307.9
-0.244137,0.537065,0.807439,-211.755,382.249,598.605,-339.692,559.64,897.915,-66.1981,145.663,218.985,-996.961,2201.7,3307.9
