energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.91,-116.955,-112.418,-177.948,3.3269,0.00270508,19.903
1999.8,-169.553,-166.944,-261.008,104.655,0.000980748,19.9019
1999.75,-228.067,-230.81,-355.967,227.196,0.000486648,19.9015
1999.7,-301.133,-315.793,-478.814,387.287,0.000327689,19.901
1999.57,-435.031,-489.242,-719.024,711.57,0.000302731,19.8998
1999.51,-557.039,-672.286,-960.186,1037.04,0.000288732,19.8992
1999.48,-616.764,-773.183,-1088.7,1209.97,0.000281085,19.8989
1999.4,-109.912,211.066,83.0174,82.6493,0.000980725,19.8981
1999.37,-152.677,286.258,113.252,170.089,0.000486637,19.8978
1999.34,-210.229,382.384,152.419,284.289,0.000327682,19.8976
1999.3,-329.494,565.678,228.889,515.395,0.000302726,19.8972
1999.23,-458.024,743.315,305.524,746.915,0.000288727,19.8965
1999.14,-584.266,901.289,376.17,960.464,0.00027394,19.8957
1999.4,236.364,-27.6831,-154.265,92.9826,0.000980724,19.8981
1999.36,322.651,-34.2134,-210.357,191.362,0.000486637,19.8977
1999.28,434.561,-39.8233,-282.977,319.855,0.000327681,19.897
1999.23,653.344,-41.5486,-424.778,579.947,0.000302725,19.8966
1999.18,872.546,-31.0288,-567.028,840.659,0.000288726,19.896
1999.14,1074.02,-10.4542,-698.323,1081.31,0.00027394,19.8957
1999.46,186.412,147.845,-16.6797,78.2092,0.000980728,19.8987
1999.43,252.284,203.945,-22.7364,160.95,0.000486639,19.8984
1999.33,336.046,278.4,-30.5919,269.005,0.000327682,19.8975
1999.28,494.215,429.343,-45.9217,487.652,0.000302726,19.897
1999.24,645.507,587.914,-61.3016,706.66,0.000288727,19.8966
1999.2,778.295,740.29,-75.4926,908.625,0.000273941,19.8963
1999.53,6.27611,237.846,-86.3062,82.993,0.000980732,19.8994
1999.5,5.30908,324.422,-117.714,170.801,0.000486641,19.8991
1999.47,1.52796,436.355,-158.347,285.481,0.000327685,19.8988
1999.42,-14.0776,654.511,-237.715,517.562,0.000302728,19.8983
1999.36,-40.5813,872.129,-317.267,750.075,0.000288729,19.8978
1999.3,-74.6186,1071.53,-390.683,964.555,0.000273943,19.8972
1999.52,-237.94,4.35694,-28.0169,78.5575,0.000980731,19.8992
1999.46,-324.434,2.91553,-38.1964,161.666,0.00048664,19.8987
1999.44,-436.306,-1.34092,-51.3611,270.2,0.000327684,19.8985
1999.38,-654.451,-17.4456,-77.0983,489.821,0.000302727,19.898
1999.34,-871.947,-43.8457,-102.908,709.811,0.000288729,19.8976
