energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.93,-116.955,-112.418,-177.948,3.32693,0.000192178,19.9031
1999.77,-616.654,-772.935,-1088.67,1224.85,0.000192177,19.9016
1999.31,934.397,512.812,639.091,1059.17,0.000192171,19.8973
1999.53,-1064.17,60.4907,357.9,958.153,0.000192174,19.8993
1999.48,1053.54,-162.129,416.878,975.261,0.000192173,19.8989
1998.51,-740.315,-766.824,578.967,1033.84,0.000192162,19.8897
0.107865,-123.113,-102.192,85.2443,1033.84,0.0219989,0.683177
0.101366,-122.942,-102.405,85.8948,1033.84,0.0228984,0.660369
0.0744852,-122.594,-102.841,88.2523,1033.84,0.0277029,0.559263
0.0571596,-122.183,-103.373,89.678,1033.84,0.0321448,0.486034
1999.35,852.015,-640.518,213.434,926.286,0.000192172,19.8977
1999.42,106.81,-1060.55,-522.435,1011.63,0.000192173,19.8983
1999.28,-78.4558,-1063,-657.539,1067.42,0.000192171,19.897
1999.88,254.079,116.073,-581.011,0.299487,0.000192178,19.9027
1999.87,273.074,126.519,-626.05,18.7274,0.000192178,19.9026
1999.81,418.397,215.636,-980.24,398.441,0.000192177,19.902
1999.03,743.191,-764.104,-143.348,916.434,0.000192168,19.8946
1999.87,209.364,258.253,729.673,28.9966,0.000192178,19.9026
1999.75,268.855,351.696,972.309,281.305,0.000192176,19.9015
0.0297321,253.687,326.494,968.422,281.305,0.042806,0.346055
1999.43,702.186,801.958,-288.762,941.01,0.000192173,19.8985
1999.41,1004.36,356.917,-551.376,1022.73,0.000192172,19.8982
1999.25,-536.463,-921.072,751.142,1111.35,0.000192171,19.8968
1999.95,-101.129,-145.468,209.855,11.5052,0.000192179,19.9034
1999.79,-421.063,-794.849,1069.08,1132.63,0.000192177,19.9019
1999.48,769.804,-737.271,452.935,986.89,0.000192173,19.8989
1999.47,-470.407,-956.475,-424.891,977.856,0.000192173,19.8988
1999.25,-911.825,551.962,-473.089,993.856,0.000192171,19.8967
1999.41,-1065.95,-1.12844,-756.886,1114.14,0.000192172,19.8982
1999.37,-861.506,-627.698,759.048,1115.35,0.000192172,19.8979
1999.24,-1056.32,142.582,438.495,982.242,0.00019217,19.8966
1999.13,494.314,944.383,-619.385,1050.57,0.000192169,19.8956
1999.23,-902.826,-566.689,-262.045,935.32,0.00019217,19.8966
1999.42,1030.93,-270.905,-238.451,930.724,0.000192173,19.8983
1999.34,186.951,-1049.38,-742.179,1106.93,0.000192172,19.8976
1999.97,61.1829,-153.27,177.95,7.42428,0.000192179,19.9035
1999.8,494.827,-878.777,1092.46,1247.56,0.000192177,19.9019
1999.37,-473.559,954.918,424.653,977.804,0.000192172,19.8978
1999.44,-857.412,-633.248,453.155,987.042,0.000192173,19.8985
1999.46,712.022,-793.157,-488.851,999.222,0.000192173,19.8987
1999.52,779.884,-726.592,-293.906,942.167,0.000192174,19.8993
1999.8,-681.665,-819.424,-1035.15,1266.52,0.000192177,19.9019
1999.45,-769.305,737.796,313.227,946.728,0.000192173,19.8986
1999.39,984.12,-409.406,-614.216,1048.28,0.000192172,19.898
1999.9,241.358,-119.68,536.049,8.78606,0.000192178,19.9029
1999.89,262.281,-128.302,581.046,37.2472,0.000192178,19.9028
1999.83,453.515,-195.338,984.16,486.214,0.000192177,19.9022
0.00170858,263.225,-128.699,583.112,486.214,0.0248767,0.0818438
1999.5,-988.186,399.606,-507.406,1006.03,0.000192173,19.8991
1999.34,1064.89,-47.1558,696.61,1085.09,0.000192172,19.8976
1999.95,175.455,77.9882,273.559,4.89993,0.000192179,19.9034
1999.83,629.256,358.371,1034.48,922.582,0.000192177,19.9022
1999.36,-209.136,1045.16,-933.286,1207.57,0.000192172,19.8978
1999.24,60.9089,-1064.21,-242.068,931.415,0.00019217,19.8966
1999.22,-918.342,-541.113,-699.862,1086.79,0.00019217,19.8965
1999,-740.815,766.446,-555.988,1024.53,0.000192168,19.8944
1999.29,400.647,987.781,207.836,925.414,0.000192171,19.8971
1999.39,-989.671,-395.945,-276.34,938.275,0.000192172,19.898
1999.47,187.714,-1049.2,-327.511,950.173,0.000192173,19.8988
1999.81,-824.748,-675.288,-1012.88,1253.34,0.000192177,19.902
1999.95,-169.131,-27.3628,-209.849,2.51201,0.000192179,19.9034
1999.81,-830.341,-236.869,-1061.22,1088.81,0.000192177,19.902
1999.03,-833.25,-238.185,-1065.13,1091.5,0.000192168,19.8947
1999.38,53.8314,1064.52,-495.615,1001.65,0.000192172,19.8979
1999.36,-140.751,-1056.58,-791.024,1131.11,0.000192172,19.8977
1999.41,1063.48,-71.1593,492.367,1000.59,0.000192172,19.8983
1999.49,394.64,990.172,144.645,916.606,0.000192173,19.899
1999.96,-149.422,68.7493,-177.913,6.67517,0.000192179,19.9034
1999.74,-961.24,295.195,-1092.5,1244.35,0.000192176,19.9014
1999.34,-995.76,-380.288,-810.263,1141.32,0.000192172,19.8975
1999.9,237.854,134.32,-536.094,16.9365,0.000192178,19.9029
1999.84,421.996,269.259,-984.151,506.446,0.000192177,19.9023
1999.84,423.536,270.522,-988.059,507.014,0.000192177,19.9023
1999.52,-624.674,-863.69,-387.275,966.598,0.000192174,19.8993
1999.31,708.917,795.934,-180.015,921.143,0.000192171,19.8973
1999.35,321.574,-1016.21,-37.3814,908.844,0.000192172,19.8977
1999.52,-652.567,842.747,328.152,950.373,0.000192174,19.8993
1999.93,-169.238,-146.577,-369.246,10.4779,0.000192178,19.9032
1999.79,-427.192,-434.475,-1007.21,748.257,0.000192177,19.9018
1999.79,-428.58,-436.3,-1010.99,749.72,0.000192177,19.9018
1999.38,-1009.95,340.73,24.0123,908.495,0.000192172,19.8979
