r1,r2
160,169.75
169.75,179.5
179.5,189.25
189.25,199
199,208.75
208.75,218.5
218.5,228.25
228.25,238
238,251.75
251.75,265.5
265.5,279.25
279.25,293
293,306.75
306.75,320.5
320.5,338.45
338.45,356.4
356.4,374.35
374.35,392.3
392.3,410.25
410.25,428.2
428.2,446.733
446.733,465.267
465.267,483.8
483.8,502.333
502.333,520.867
520.867,539.4
539.4,557.267
557.267,575.133
575.133,593
593,610.867
610.867,628.733
628.733,646.6
646.6,665.133
665.133,683.667
683.667,702.2
702.2,720.733
720.733,739.267
739.267,757.8
757.8,775.667
775.667,793.533
793.533,811.4
811.4,829.267
829.267,847.133
847.133,865
865,883.533
883.533,902.067
902.067,920.6
920.6,939.133
939.133,957.667
957.667,976.2
976.2,994.15
994.15,1012.1
1012.1,1030.05
1030.05,1048
1048,1065.95
