gen_time,drift_time,long_diffusion,trans_diffusion
0.0285043,2328.81,0.007076,0.012006
0.0132627,2108.6,0.007077,0.012014
0.0216057,2866.76,0.007076,0.011995
0.0110538,2310.81,0.007077,0.012014
0.0066483,1827.4,0.007078,0.012027
0.0320221,2029.36,0.007077,0.012007
0.0122379,2310.81,0.007077,0.012014
0.0323412,2029.36,0.007077,0.012007
0.0272935,2328.81,0.007076,0.012006
0.0148884,2513.44,0.007076,0.012
0.0297144,2172.57,0.007077,0.012008
0.00420343,1827.4,0.007078,0.012027
0.0185437,2866.76,0.007076,0.011995
0.000834913,1828.51,0.007078,0.012033
0.0263666,2328.81,0.007076,0.012006
0.0282699,2328.81,0.007076,0.012006
0.0318268,2029.36,0.007077,0.012007
0.0313358,2029.36,0.007077,0.012007
0.0289836,2328.81,0.007076,0.012006
0.0120038,2310.81,0.007077,0.012014
0.0158144,2513.44,0.007076,0.012
0.0129594,2108.6,0.007077,0.012014
0.0302007,2172.57,0.007077,0.012008
0.0147918,2513.44,0.007076,0.012
0.00508105,1827.4,0.007078,0.012027
0.0140549,2108.6,0.007077,0.012014
0.010104,2038,0.007077,0.012021
0.00390328,1827.4,0.007078,0.012027
0.031925,2029.36,0.007077,0.012007
0.0136896,2108.6,0.007077,0.012014
0.0234645,2514.32,0.007076,0.012003
0.0184584,2866.76,0.007076,0.011995
0.00624737,1827.4,0.007078,0.012027
0.0308411,2172.57,0.007077,0.012008
0.0157595,2513.44,0.007076,0.012
0.0302092,2172.57,0.007077,0.012008
0.0252702,2514.32,0.007076,0.012003
0.0241497,2514.32,0.007076,0.012003
0.00851483,2038,0.007077,0.012021
0.00724884,1827.4,0.007078,0.012027
0.00723306,1827.4,0.007078,0.012027
0.0218772,2866.76,0.007076,0.011995
0.00320238,1828.51,0.007078,0.012033
0.00216578,1828.51,0.007078,0.012033
0.0105907,2038,0.007077,0.012021
0.0164317,2513.44,0.007076,0.012
0.0200392,2866.76,0.007076,0.011995
0.0142602,2108.6,0.007077,0.012014
0.0123595,2310.81,0.007077,0.012014
0.0080355,2038,0.007077,0.012021
0.0281765,2328.81,0.007076,0.012006
0.00238336,1828.51,0.007078,0.012033
0.0255823,2328.81,0.007076,0.012006
0.0264487,2328.81,0.007076,0.012006
0.0219776,2514.32,0.007076,0.012003
0.0187333,2866.76,0.007076,0.011995
0.0172613,2513.44,0.007076,0.012
0.00241254,1828.51,0.007078,0.012033
0.0184192,2866.76,0.007076,0.011995
0.00665445,1827.4,0.007078,0.012027
0.0119181,2310.81,0.007077,0.012014
0.00311475,1828.51,0.007078,0.012033
0.00356448,1634.83,0.007078,0.012033
0.0169435,2513.44,0.007076,0.012
0.0208763,2866.76,0.007076,0.011995
0.010895,2038,0.007077,0.012021
0.00275365,1828.51,0.007078,0.012033
0.0185314,2866.76,0.007076,0.011995
0.0135026,2108.6,0.007077,0.012014
0.0246106,2514.32,0.007076,0.012003
0.00157955,1828.51,0.007078,0.012033
0.00118101,1828.51,0.007078,0.012033
0.001986,1828.51,0.007078,0.012033
0.0280958,2328.81,0.007076,0.012006
0.00802298,2038,0.007077,0.012021
0.0311634,2172.57,0.007077,0.012008
0.0168296,2513.44,0.007076,0.012
0.0161997,2513.44,0.007076,0.012
0.0252897,2514.32,0.007076,0.012003
0.00231436,1828.51,0.007078,0.012033
0.0111459,2310.81,0.007077,0.012014
0.0304106,2172.57,0.007077,0.012008
0.0149794,2513.44,0.007076,0.012
0.0137621,2108.6,0.007077,0.012014
0.0165092,2513.44,0.007076,0.012
0.0198738,2866.76,0.007076,0.011995
0.0228834,2514.32,0.007076,0.012003
0.0143249,2108.6,0.007077,0.012014
0.0196256,2866.76,0.007076,0.011995
0.0104304,2038,0.007077,0.012021
0.0169395,2513.44,0.007076,0.012
0.00415349,1827.4,0.007078,0.012027
0.0164231,2513.44,0.007076,0.012
0.0079207,2038,0.007077,0.012021
0.0172572,2513.44,0.007076,0.012
0.00201852,1828.51,0.007078,0.012033
0.0289831,2328.81,0.007076,0.012006
0.0258063,2328.81,0.007076,0.012006
0.014278,2108.6,0.007077,0.012014
0.0282549,2328.81,0.007076,0.012006
0.00801017,2038,0.007077,0.012021
0.0250637,2805.79,0.007077,0.012009
0.0172741,3439.87,0.007076,0.011994
0.0211143,3006.9,0.007076,0.011998
0.0208947,3006.9,0.007076,0.011998
0.00182479,1497.4,0.007078,0.012026
0.0182035,3010.18,0.007076,0.012001
0.0252918,2805.79,0.007077,0.012009
0.00259683,1827.4,0.007078,0.012027
0.0260356,2639.39,0.007077,0.012012
0.0265433,2639.39,0.007077,0.012012
0.00936963,2310.81,0.007077,0.012014
0.000305778,1497.4,0.007078,0.012026
0.018191,3010.18,0.007076,0.012001
0.0321409,2310.81,0.007077,0.012014
0.00422821,2038,0.007077,0.012021
0.000291965,1497.4,0.007078,0.012026
0.00463752,2038,0.007077,0.012021
0.0163282,3439.87,0.007076,0.011994
0.0168555,3439.87,0.007076,0.011994
0.0149161,3439.87,0.007076,0.011994
0.0233301,2805.79,0.007077,0.012009
0.0204797,3010.18,0.007076,0.012001
0.0168851,3439.87,0.007076,0.011994
0.0279798,2639.39,0.007077,0.012012
0.00321146,1827.4,0.007078,0.012027
0.00279082,1827.4,0.007078,0.012027
0.022197,2805.79,0.007077,0.012009
0.0187756,3010.18,0.007076,0.012001
0.000282156,1497.4,0.007078,0.012026
0.0124555,2931.46,0.007076,0.012003
7.03049e-05,1497.4,0.007078,0.012026
0.00980716,2310.81,0.007077,0.012014
0.0170659,3439.87,0.007076,0.011994
0.0175598,3439.87,0.007076,0.011994
0.0254751,2639.39,0.007077,0.012012
0.0083228,2310.81,0.007077,0.012014
0.0226051,2805.79,0.007077,0.012009
0.00567482,2038,0.007077,0.012021
0.0299141,2491.08,0.007077,0.012015
0.0307739,2310.81,0.007077,0.012014
0.00730461,2310.81,0.007077,0.012014
0.00107301,1497.4,0.007078,0.012026
0.0294568,2491.08,0.007077,0.012015
0.0124055,2931.46,0.007076,0.012003
0.0129016,2931.46,0.007076,0.012003
0.0149672,3439.87,0.007076,0.011994
0.0219928,2805.79,0.007077,0.012009
0.0247268,2805.79,0.007077,0.012009
0.0154342,3439.87,0.007076,0.011994
0.0307301,2310.81,0.007077,0.012014
0.0202152,3010.18,0.007076,0.012001
0.00575741,2038,0.007077,0.012021
0.00491936,2038,0.007077,0.012021
0.0294843,2491.08,0.007077,0.012015
0.00711319,2038,0.007077,0.012021
0.00593848,2038,0.007077,0.012021
0.00253402,1827.4,0.007078,0.012027
0.0246361,2805.79,0.007077,0.012009
0.00510926,2038,0.007077,0.012021
0.0118977,2931.46,0.007076,0.012003
0.0260205,2639.39,0.007077,0.012012
0.0193631,3010.18,0.007076,0.012001
