============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 0, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 1, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 4, hits = 18, fitted = 1, converged = 1, chi2 = 36.0035, ndf = 31, X2v = 1.1614
>>> Track = 5, hits = 45, fitted = 1, converged = 1, chi2 = 90.0112, ndf = 85, X2v = 1.05896
>>> Track = 6, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 7, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 8, hits = 55, fitted = 1, converged = 1, chi2 = 110.03, ndf = 105, X2v = 1.04791
>>> Track = 9, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 10, hits = 46, fitted = 1, converged = 1, chi2 = 92.0105, ndf = 87, X2v = 1.05759
>>> Track = 11, hits = 32, fitted = 1, converged = 1, chi2 = 64.0066, ndf = 59, X2v = 1.08486
>>> Track = 13, hits = 7, fitted = 1, converged = 1, chi2 = 14.001, ndf = 9, X2v = 1.55567
>>> Track = 15, hits = 12, fitted = 1, converged = 1, chi2 = 24.0015, ndf = 19, X2v = 1.26324
>>> Track = 16, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 17, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 18, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 19, hits = 9, fitted = 1, converged = 1, chi2 = 18.0008, ndf = 13, X2v = 1.38467
>>> Track = 22, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04788
>>> Track = 23, hits = 42, fitted = 1, converged = 1, chi2 = 84.0094, ndf = 79, X2v = 1.06341
>>> Track = 24, hits = 42, fitted = 1, converged = 1, chi2 = 84.0098, ndf = 79, X2v = 1.06342
>>> Track = 25, hits = 55, fitted = 1, converged = 1, chi2 = 110.015, ndf = 105, X2v = 1.04776
>>> Track = 26, hits = 18, fitted = 1, converged = 1, chi2 = 36.0031, ndf = 31, X2v = 1.16139
