i,numWires,wireLength,layerType,r1,r2
0,160,355.936,axial,160,169.75
1,160,419.717,axial,169.75,179.5
2,160,483.499,axial,179.5,189.25
3,160,547.281,axial,189.25,199
4,160,611.062,axial,199,208.75
5,160,674.844,axial,208.75,218.5
6,160,738.626,axial,218.5,228.25
7,160,802.407,stereo,228.25,238
8,160,892.356,stereo,238,251.75
9,160,982.304,stereo,251.75,265.5
10,160,1072.25,stereo,265.5,279.25
11,160,1162.2,stereo,279.25,293
12,160,1252.15,stereo,293,306.75
13,192,1342.1,axial,306.75,320.5
14,192,1489.5,axial,320.5,343.033
15,192,1636.91,axial,343.033,365.567
16,192,1784.32,axial,365.567,388.1
17,192,1931.72,axial,388.1,410.633
18,192,1941.3,axial,410.633,433.167
19,224,1950.88,stereo,433.167,455.7
20,224,1958.76,stereo,455.7,474.233
21,224,1966.64,stereo,474.233,492.767
22,224,1974.52,stereo,492.767,511.3
23,224,1982.4,stereo,511.3,529.833
24,224,1990.28,stereo,529.833,548.367
25,256,1998.15,axial,548.367,566.9
26,256,2005.75,axial,566.9,584.767
27,256,2013.35,axial,584.767,602.633
28,256,2020.94,axial,602.633,620.5
29,256,2028.54,axial,620.5,638.367
30,256,2036.13,axial,638.367,656.233
31,288,2043.73,stereo,656.233,674.1
32,288,2051.61,stereo,674.1,692.633
33,288,2059.48,stereo,692.633,711.167
34,288,2067.36,stereo,711.167,729.7
35,288,2075.24,stereo,729.7,748.233
36,288,2083.12,stereo,748.233,766.767
37,320,2091,axial,766.767,785.3
38,320,2098.59,axial,785.3,803.167
39,320,2106.19,axial,803.167,821.033
40,320,2113.79,axial,821.033,838.9
41,320,2121.38,axial,838.9,856.767
42,320,2128.98,axial,856.767,874.633
43,352,2136.57,stereo,874.633,892.5
44,352,2144.45,stereo,892.5,911.033
45,352,2152.33,stereo,911.033,929.567
46,352,2160.21,stereo,929.567,948.1
47,352,2168.09,stereo,948.1,966.633
48,352,2175.97,stereo,966.633,985.167
49,384,2183.84,axial,985.167,1003.7
50,384,2191.47,axial,1003.7,1021.65
51,384,2199.11,axial,1021.65,1039.6
52,384,2206.74,axial,1039.6,1057.55
53,384,2214.37,axial,1057.55,1075.5
54,384,2222,axial,1075.5,1093.45
